net,length_um
_4159_,983.97
_4160_,971.8
_4161_,949.75
_4162_,856.26
_4157_,813.44
_4163_,764.6
clknet_0_clk,722.59
_4164_,684.01
_4168_,662.17
_4122_,656.03
_4169_,635.28
_4165_,633.3
_4166_,613.06
_4167_,584.94
_4147_,434.18
clknet_3_0__leaf_clk,391.84
clknet_3_5__leaf_clk,325.59
clknet_3_4__leaf_clk,310.08
clknet_3_7__leaf_clk,305.96
clknet_3_6__leaf_clk,294.82
clk,293.1
_4136_,260.94
clknet_3_1__leaf_clk,252.66
sh0\[7\],252.06
_0144_,245.48
clknet_3_2__leaf_clk,240.22
_4134_,237.14
_4129_,223
_4137_,198.045
_4128_,194.94
net2,191.9
_1274_,190.68
_0142_,185.88
_0143_,185.84
_2875_,184.82
_4127_,178.52
_4135_,175.48
_1223_,172.06
_0723_,170.54
_1242_,170.46
_2038_,169.595
_1668_,165.88
_2923_,164.57
_4123_,162.675
clknet_3_3__leaf_clk,157.02
_0140_,156.54
_2473_,155.64
_3724_,155.2
_4125_,154.9
_4124_,152.24
_2069_,151.76
sh15\[1\],146.78
_2521_,145.84
_4131_,145.62
_2106_,144.74
_3244_,143.96
net1,142.46
_1636_,141.815
sh14\[2\],141.34
_1638_,139.44
sh5\[1\],137.44
sh13\[1\],136.28
net30,135.66
s5\[6\],135.16
_1227_,134.975
sh15\[4\],134.65
_1662_,134.37
_0826_,133.8
_2922_,133.69
_1384_,131.04
_0136_,130.52
_2886_,129.81
_4133_,129.24
_1639_,128.585
sh15\[2\],128.5
_2102_,127.38
_2506_,127
_3289_,126.91
sh14\[1\],126.81
_1299_,125.47
sh14\[6\],124.78
sh13\[4\],124.25
_1674_,123.36
s5\[5\],123.26
sh15\[7\],122.67
_4138_,122.28
sh0\[5\],121.08
_0892_,120.74
_4132_,120.46
_2906_,119.04
_3752_,118.88
_3702_,118.745
_2882_,117.91
_4140_,117.49
_0737_,116.97
_0139_,116.76
sh13\[3\],116.66
_2040_,116.12
_2518_,116.07
_0153_,115.98
_2893_,115.7
net31,115.28
_0103_,114.96
net3,114.82
net38,114.78
clknet_leaf_56_clk,114.74
_1637_,114.38
s0\[7\],114.3
_1677_,113.84
_2104_,113.75
sh14\[0\],113.74
sh5\[5\],113.62
_1257_,113.32
sh14\[7\],113.28
_1245_,112.37
_1641_,112.2
_2936_,111.88
_0152_,111.78
_3302_,110.82
_2889_,110.38
_3704_,110.23
net37,109.615
clknet_leaf_39_clk,108.8
sh6\[4\],108.22
s6\[6\],107.98
sh6\[2\],107.98
_1791_,107.92
_2883_,107.68
_4149_,107.24
_1237_,107.08
_4139_,106.82
clknet_leaf_31_clk,106.62
sh15\[6\],106.44
_2490_,106.3
sh11\[6\],105.8
_3377_,105.79
_0137_,105.66
net267,105.3
net7,105.1
_3787_,104.835
clknet_leaf_15_clk,104.78
_3536_,104.72
_0740_,104.63
_0736_,104.5
_4141_,104.215
_2061_,103.93
sh15\[3\],103.275
net39,103.165
_2493_,103.075
_4156_,102.52
sh13\[7\],102.2
s6\[7\],101.84
clknet_leaf_57_clk,101.52
_1331_,101.16
_1743_,101.06
_3311_,100.8
clknet_leaf_54_clk,100.62
sh1\[0\],100.56
_1722_,100.44
sh9\[0\],100.44
net29,100.38
sh4\[4\],100.24
clknet_leaf_16_clk,100.22
_4126_,100.055
s0\[8\],99.47
_2200_,99.44
sh12\[4\],98.92
_2894_,98.86
_0419_,98.78
_1243_,98.78
_1247_,98.32
_3750_,97.34
_2060_,97.315
net32,97.06
sh12\[0\],97.05
clknet_leaf_32_clk,96.87
_0746_,96.68
sh6\[1\],96.44
_3297_,96.42
clknet_leaf_53_clk,96.24
_2911_,96.1
sh9\[3\],95.94
s5\[7\],95.88
sh12\[2\],95.54
_2071_,95.06
_0762_,94.885
sh8\[1\],94.375
_2189_,94.24
_4148_,94.08
_2491_,93.98
_0797_,93.97
_1268_,93.82
_2477_,93.8
sh12\[5\],93.74
_3070_,93.7
sh8\[6\],93.64
_1231_,93.45
_0180_,92.88
clknet_leaf_40_clk,92.54
clknet_leaf_13_clk,92.48
_3708_,92.36
_1649_,92.22
_3295_,92.18
clknet_leaf_52_clk,91.9
_4146_,91.83
_2874_,91.375
_0726_,91.18
_0733_,90.84
_3971_,90.74
net35,90.52
sh7\[1\],90.45
_2926_,90.16
sh4\[0\],89.77
sh4\[3\],89.14
_3033_,89
_2878_,88.76
_1643_,88.7
_4153_,88.635
_3703_,88.5
_0730_,88.45
_1246_,88.22
sh12\[7\],88.17
sh8\[0\],88.1
_1690_,88.04
sh4\[1\],88.02
sh6\[6\],87.96
_0748_,87.94
s0\[5\],87.9
_0980_,87.7
sh2\[5\],87.59
sh6\[5\],87.42
_1234_,87.335
_3715_,87.075
s5\[8\],87
_0830_,86.78
_2091_,86.395
_2057_,86.02
_2890_,85.775
_3286_,85.6
_3740_,85.24
sh9\[4\],85.15
s6\[9\],85.14
sh4\[7\],85.12
_2672_,85.06
net33,84.995
_1844_,84.84
clknet_leaf_14_clk,84.64
_4142_,84.51
_3858_,84.375
_1235_,84.16
net42,84.12
_2484_,83.92
_1238_,83.7
net41,83.46
_0772_,83.42
_2489_,83.01
s6\[8\],82.98
_2482_,82.89
sh14\[4\],82.72
_3301_,82.52
sh9\[1\],82.52
_3307_,82.51
_3768_,82.4
